customer_id,month,seats_active,api_calls,storage_gb,support_tickets
CUST-2016,2026-06,237,1420104,948,5
CUST-2016,2026-07,233,760745,932,4
CUST-2017,2026-05,313,2235133,1252,2
CUST-2017,2026-06,312,2604576,1248,1
CUST-2017,2026-07,314,1784776,1256,6
CUST-2018,2026-05,358,2740848,1432,2
CUST-2018,2026-06,356,1091496,1424,1
CUST-2018,2026-07,346,1032118,1384,0
CUST-2019,2026-05,381,1281684,1524,6
CUST-2019,2026-06,375,2389875,1500,1
CUST-2019,2026-07,373,1589353,1492,6
CUST-2020,2026-05,399,1558893,1596,1
CUST-2020,2026-06,406,2493246,1624,2
CUST-2020,2026-07,411,2853984,1644,1
CUST-2021,2026-05,465,3381945,1860,2
CUST-2021,2026-06,465,3321960,1860,3
CUST-2021,2026-07,471,1646616,1884,3
CUST-2022,2026-05,476,1394680,1904,3
CUST-2022,2026-06,471,4160814,1884,1
CUST-2022,2026-07,465,2627250,1860,3
CUST-2023,2026-05,517,4325739,2068,6
CUST-2023,2026-06,521,4537389,2084,1
CUST-2023,2026-07,523,2992083,2092,0
CUST-2024,2026-05,487,2881092,1948,1
CUST-2024,2026-06,489,2945736,1956,3
CUST-2024,2026-07,493,1410966,1972,0
CUST-2025,2026-05,486,4025052,1944,2
CUST-2025,2026-06,484,1791284,1936,5
CUST-2025,2026-07,483,1523382,1932,4
CUST-2026,2026-05,525,2337825,2100,5
CUST-2026,2026-06,529,3915658,2116,1
CUST-2026,2026-07,531,2638539,2124,2
CUST-2027,2026-05,65,398905,260,3
CUST-2027,2026-06,75,384075,300,3
CUST-2027,2026-07,77,476476,308,0
CUST-2028,2026-05,93,290904,372,5
CUST-2028,2026-06,92,392196,368,4
CUST-2028,2026-07,91,422240,364,2
CUST-2029,2026-05,127,673481,508,4
CUST-2029,2026-06,140,1194480,560,6
CUST-2029,2026-07,147,632688,588,0
CUST-2030,2026-05,247,1525719,988,3
CUST-2030,2026-06,244,1659688,976,3
CUST-2030,2026-07,241,633589,964,1
CUST-2031,2026-05,420,2840880,1680,4
CUST-2031,2026-06,411,2567106,1644,2
CUST-2031,2026-07,411,1765245,1644,0
CUST-2032,2026-05,231,586047,924,5
CUST-2032,2026-06,235,1968125,940,3
CUST-2032,2026-07,244,1714832,976,5
CUST-2033,2026-05,210,983430,840,6
CUST-2033,2026-06,212,775708,848,1
CUST-2033,2026-07,212,703416,848,4
CUST-2034,2026-05,263,1763941,1052,3
CUST-2034,2026-06,265,2109930,1060,1
CUST-2034,2026-07,268,2248788,1072,0
CUST-2035,2026-05,74,284308,296,2
CUST-2035,2026-06,84,379008,336,2
CUST-2035,2026-07,86,666844,344,4
CUST-2036,2026-05,414,2155284,1656,0
CUST-2036,2026-06,416,1172704,1664,6
CUST-2036,2026-07,416,3546400,1664,3
CUST-2037,2026-05,88,453376,352,5
CUST-2037,2026-06,90,419850,360,2
CUST-2037,2026-07,86,477214,344,4
CUST-2038,2026-05,516,4214688,2064,3
CUST-2038,2026-06,523,2205491,2092,2
CUST-2038,2026-07,533,1507857,2132,0
CUST-2039,2026-05,428,2993432,1712,5
CUST-2039,2026-06,429,2807805,1716,2
CUST-2039,2026-07,434,1196972,1736,5
CUST-2040,2026-05,224,2000320,896,3
CUST-2040,2026-06,226,1751726,904,6
CUST-2040,2026-07,226,1898626,904,3
CUST-2041,2026-05,429,1419561,1716,6
CUST-2041,2026-06,427,3603880,1708,4
CUST-2041,2026-07,421,3021096,1684,0
CUST-2042,2026-05,246,972684,984,4
CUST-2042,2026-06,245,1037820,980,5
CUST-2042,2026-07,246,1699614,984,5
CUST-2043,2026-05,491,2949437,1964,6
CUST-2043,2026-06,492,1867140,1968,3
CUST-2043,2026-07,494,3782064,1976,0
CUST-2044,2026-05,203,981911,812,2
CUST-2044,2026-06,206,946776,824,3
CUST-2044,2026-07,202,1235432,808,6
CUST-2045,2026-05,342,2909052,1368,1
CUST-2045,2026-06,348,1187724,1392,1
CUST-2045,2026-07,362,917670,1448,4
CUST-2046,2026-05,547,3718506,2188,0
CUST-2046,2026-06,548,1834156,2192,5
CUST-2046,2026-07,542,3008642,2168,5
CUST-2047,2026-05,112,342944,448,4
CUST-2047,2026-06,113,873151,452,0
CUST-2047,2026-07,116,560164,464,6
CUST-2048,2026-05,325,948675,1300,1
CUST-2048,2026-06,330,980100,1320,4
CUST-2048,2026-07,330,1527240,1320,3
CUST-2049,2026-05,54,253206,216,4
CUST-2049,2026-06,57,310707,228,5
CUST-2049,2026-07,67,575329,268,3
CUST-2050,2026-05,18,144486,72,4
CUST-2050,2026-06,14,125174,56,3
CUST-2050,2026-07,15,59565,60,4
CUST-2051,2026-05,201,848823,804,4
CUST-2051,2026-06,206,764672,824,2
CUST-2051,2026-07,215,1208085,860,5
CUST-2052,2026-05,575,1811825,2300,3
CUST-2052,2026-06,565,4781030,2260,1
CUST-2052,2026-07,566,2063070,2264,6
CUST-2053,2026-05,487,4266607,1948,6
CUST-2053,2026-06,486,3711582,1944,0
CUST-2053,2026-07,482,3117094,1928,6
CUST-2054,2026-05,204,845580,816,3
CUST-2054,2026-06,206,905164,824,5
CUST-2054,2026-07,204,1611804,816,2
CUST-2055,2026-05,476,3709944,1904,5
CUST-2055,2026-06,478,2381396,1912,2
CUST-2055,2026-07,480,4318560,1920,4
CUST-2056,2026-05,374,2140028,1496,4
CUST-2056,2026-06,380,2473040,1520,1
CUST-2056,2026-07,388,2994972,1552,5
CUST-2057,2026-05,249,827925,996,5
CUST-2057,2026-06,244,1593076,976,2
CUST-2057,2026-07,241,1688205,964,5
CUST-2058,2026-05,169,695097,676,6
CUST-2058,2026-06,174,1011636,696,0
CUST-2058,2026-07,171,1454013,684,1
CUST-2059,2026-05,441,3352923,1764,0
CUST-2059,2026-06,439,2094908,1756,4
CUST-2059,2026-07,439,3839055,1756,1
CUST-2060,2026-05,178,684232,712,5
CUST-2060,2026-06,179,1233131,716,0
CUST-2060,2026-07,179,1568935,716,0
CUST-2061,2026-05,168,629832,672,5
CUST-2061,2026-06,176,494032,704,2
CUST-2061,2026-07,180,1109520,720,1
CUST-2062,2026-05,128,1062016,512,4
CUST-2062,2026-06,125,554250,500,5
CUST-2062,2026-07,125,428500,500,1
CUST-2063,2026-05,172,740976,688,2
CUST-2063,2026-06,173,1393169,692,0
CUST-2063,2026-07,170,1099220,680,6
CUST-2064,2026-05,459,1700595,1836,4
CUST-2064,2026-06,464,4156048,1856,6
CUST-2064,2026-07,471,3524493,1884,6
CUST-2065,2026-05,443,1506200,1772,3
CUST-2065,2026-06,441,2595285,1764,3
CUST-2065,2026-07,438,1746744,1752,1
CUST-2066,2026-05,114,932862,456,5
CUST-2066,2026-06,108,562896,432,4
CUST-2066,2026-07,109,618575,436,3
CUST-2067,2026-05,330,1343760,1320,4
CUST-2067,2026-06,330,1197570,1320,0
CUST-2067,2026-07,331,2561940,1324,0
CUST-2068,2026-05,24,141936,96,0
CUST-2068,2026-06,33,252879,132,3
CUST-2068,2026-07,42,257712,168,6
CUST-2069,2026-05,324,1147932,1296,2
CUST-2069,2026-06,330,903870,1320,6
CUST-2069,2026-07,327,1134036,1308,2
CUST-2070,2026-05,557,3743040,2228,4
CUST-2070,2026-06,555,4976685,2220,4
CUST-2070,2026-07,561,4609176,2244,5
CUST-2071,2026-05,227,1899990,908,1
CUST-2071,2026-06,220,1068980,880,6
CUST-2071,2026-07,219,1728129,876,2
CUST-2072,2026-05,213,725265,852,6
CUST-2072,2026-06,213,1359153,852,3
CUST-2072,2026-07,220,1066340,880,0
CUST-2073,2026-05,248,638104,992,3
CUST-2073,2026-06,254,1848866,1016,0
CUST-2073,2026-07,259,1180781,1036,2
CUST-2074,2026-05,421,3100244,1684,5
CUST-2074,2026-06,422,3508508,1688,0
CUST-2074,2026-07,416,1699360,1664,2
CUST-2075,2026-05,382,2477270,1528,0
CUST-2075,2026-06,383,3111492,1532,5
CUST-2075,2026-07,379,2942935,1516,0
CUST-2076,2026-05,481,2633475,1924,2
CUST-2076,2026-06,485,2910485,1940,1
CUST-2076,2026-07,485,1494770,1940,5
CUST-2077,2026-05,164,620248,656,2
CUST-2077,2026-06,160,905920,640,0
CUST-2077,2026-07,155,1375315,620,0
CUST-2078,2026-05,174,1228614,696,5
CUST-2078,2026-06,180,766800,720,5
CUST-2078,2026-07,177,500379,708,6
CUST-2079,2026-05,411,1291773,1644,4
CUST-2079,2026-06,412,2676764,1648,4
CUST-2079,2026-07,413,2538298,1652,6
CUST-2080,2026-05,85,406895,340,1
CUST-2080,2026-06,92,735264,368,4
CUST-2080,2026-07,89,642402,356,1
CUST-2081,2026-05,157,1173732,628,0
CUST-2081,2026-06,157,542121,628,3
CUST-2081,2026-07,156,1013844,624,2
CUST-2082,2026-05,196,1390032,784,5
CUST-2082,2026-06,191,1115822,764,5
CUST-2082,2026-07,188,1494976,752,3
CUST-2083,2026-05,415,1210140,1660,5
CUST-2083,2026-06,417,2802657,1668,2
CUST-2083,2026-07,415,2437295,1660,6
CUST-2084,2026-05,222,1905426,888,3
CUST-2084,2026-06,220,1553860,880,1
CUST-2084,2026-07,215,1286775,860,5
CUST-2085,2026-05,349,2387509,1396,6
CUST-2085,2026-06,356,2325036,1424,1
CUST-2085,2026-07,352,1324224,1408,2
CUST-2086,2026-05,225,1609425,900,5
CUST-2086,2026-06,238,1816416,952,5
CUST-2086,2026-07,247,1709487,988,2
CUST-2087,2026-05,125,1100125,500,2
CUST-2087,2026-06,129,1029678,516,0
CUST-2087,2026-07,129,551088,516,3
CUST-2088,2026-05,184,641792,736,0
CUST-2088,2026-06,187,1251030,748,2
CUST-2088,2026-07,192,1541184,768,4
CUST-2089,2026-05,70,354480,280,3
CUST-2089,2026-06,78,307398,312,5
CUST-2089,2026-07,81,680643,324,0
CUST-2090,2026-05,322,1998976,1288,4
CUST-2090,2026-06,321,2490318,1284,0
CUST-2090,2026-07,321,875367,1284,1
CUST-2091,2026-05,37,330743,148,5
CUST-2091,2026-06,35,286825,140,3
CUST-2091,2026-07,35,195685,140,3
CUST-2092,2026-05,246,1924458,984,2
CUST-2092,2026-06,243,1866969,972,1
CUST-2092,2026-07,239,785593,956,2
CUST-2093,2026-05,416,3387072,1664,1
CUST-2093,2026-06,411,2270775,1644,3
CUST-2093,2026-07,408,1224816,1632,0
CUST-2094,2026-05,442,1943474,1768,1
CUST-2094,2026-06,444,3367296,1776,4
CUST-2094,2026-07,455,1707160,1820,2
CUST-2095,2026-05,452,1626748,1808,0
CUST-2095,2026-06,461,3401258,1844,5
CUST-2095,2026-07,471,3628584,1884,2
CUST-2096,2026-05,570,4584510,2280,5
CUST-2096,2026-06,573,3974328,2292,0
CUST-2096,2026-07,574,3489346,2296,2
CUST-2097,2026-05,214,962358,856,6
CUST-2097,2026-06,213,697149,852,1
CUST-2097,2026-07,210,564900,840,5
CUST-2098,2026-05,402,2348886,1608,1
CUST-2098,2026-06,395,1805940,1580,1
CUST-2098,2026-07,393,1090182,1572,6
CUST-2099,2026-05,400,2695600,1600,3
CUST-2099,2026-06,398,1719758,1592,2
CUST-2099,2026-07,406,2819264,1624,5
CUST-2100,2026-05,222,1463424,888,3
CUST-2100,2026-06,218,1300370,872,2
CUST-2100,2026-07,216,1487376,864,1
CUST-2101,2026-05,246,863214,984,6
CUST-2101,2026-06,252,1458576,1008,4
CUST-2101,2026-07,251,1078798,1004,3
CUST-2102,2026-05,319,2237147,1276,0
CUST-2102,2026-06,332,1297456,1328,0
CUST-2102,2026-07,338,1910038,1352,5
CUST-2103,2026-05,324,994680,1296,5
CUST-2103,2026-06,331,1726827,1324,2
CUST-2103,2026-07,339,2818446,1356,5
CUST-2104,2026-05,275,1193500,1100,0
CUST-2104,2026-06,272,2234480,1088,4
CUST-2104,2026-07,277,1947033,1108,5
CUST-2105,2026-05,295,2235510,1180,5
CUST-2105,2026-06,294,1008126,1176,2
CUST-2105,2026-07,291,2268636,1164,0
CUST-2106,2026-05,107,699031,428,0
CUST-2106,2026-06,109,608656,436,2
CUST-2106,2026-07,104,820040,416,3
CUST-2107,2026-05,439,1973305,1756,2
CUST-2107,2026-06,439,3631408,1756,2
CUST-2107,2026-07,441,2946321,1764,3
CUST-2108,2026-05,68,419492,272,4
CUST-2108,2026-06,62,327980,248,5
CUST-2108,2026-07,60,165480,240,0
CUST-2109,2026-05,308,908292,1232,6
CUST-2109,2026-06,314,1288970,1256,2
CUST-2109,2026-07,318,2292144,1272,1
CUST-2110,2026-05,352,1253824,1408,1
CUST-2110,2026-06,355,2412225,1420,5
CUST-2110,2026-07,360,2522520,1440,3
CUST-2111,2026-05,562,2583514,2248,4
CUST-2111,2026-06,563,1457607,2252,1
CUST-2111,2026-07,557,2343856,2228,6
CUST-2112,2026-05,287,1134511,1148,0
CUST-2112,2026-06,292,1083320,1168,6
CUST-2112,2026-07,300,1636200,1200,0
CUST-2113,2026-05,316,1228292,1264,3
CUST-2113,2026-06,325,1261325,1300,0
CUST-2113,2026-07,329,1671320,1316,6
CUST-2114,2026-05,165,1467015,660,0
CUST-2114,2026-06,161,1438696,644,4
CUST-2114,2026-07,159,452673,636,4
CUST-2115,2026-05,411,1773876,1644,1
CUST-2115,2026-06,416,3242720,1664,0
CUST-2115,2026-07,421,3341056,1684,5
CUST-2116,2026-05,476,3921288,1904,6
CUST-2116,2026-06,469,2669548,1876,0
CUST-2116,2026-07,467,2724011,1868,3
CUST-2117,2026-05,388,3196344,1552,5
CUST-2117,2026-06,388,1030528,1552,5
CUST-2117,2026-07,391,2024598,1564,3
CUST-2118,2026-05,236,2093792,944,5
CUST-2118,2026-06,233,1796663,932,1
CUST-2118,2026-07,239,1219378,956,6
CUST-2119,2026-05,8,28472,32,6
CUST-2119,2026-06,16,126272,64,6
CUST-2119,2026-07,26,124644,104,5
CUST-2120,2026-05,371,3283721,1484,2
CUST-2120,2026-06,372,2698860,1488,5
CUST-2120,2026-07,378,2599884,1512,0
CUST-2121,2026-05,336,2316048,1344,6
CUST-2121,2026-06,334,2413484,1336,6
CUST-2121,2026-07,341,1251811,1364,4
CUST-2122,2026-05,186,691176,744,6
CUST-2122,2026-06,185,1637435,740,4
CUST-2122,2026-07,184,1627112,736,3
CUST-2123,2026-05,279,949716,1116,0
CUST-2123,2026-06,277,2216000,1108,3
CUST-2123,2026-07,276,1642752,1104,3
CUST-2124,2026-05,439,3839933,1756,1
CUST-2124,2026-06,442,3090022,1768,6
CUST-2124,2026-07,449,1197483,1796,0
CUST-2125,2026-05,263,2227610,1052,2
CUST-2125,2026-06,267,1105113,1068,3
CUST-2125,2026-07,268,1725652,1072,1
CUST-2126,2026-05,358,2531418,1432,2
CUST-2126,2026-06,360,2207880,1440,3
CUST-2126,2026-07,361,3086189,1444,4
CUST-2127,2026-05,403,3405350,1612,5
CUST-2127,2026-06,407,1879526,1628,1
CUST-2127,2026-07,415,3119140,1660,3
CUST-2128,2026-05,143,583440,572,6
CUST-2128,2026-06,145,958160,580,5
CUST-2128,2026-07,149,429865,596,5
CUST-2129,2026-05,560,3613680,2240,0
CUST-2129,2026-06,563,3495104,2252,1
CUST-2129,2026-07,564,3162348,2256,2
CUST-2130,2026-05,10,83880,40,6
CUST-2130,2026-06,13,84851,52,1
CUST-2130,2026-07,14,101934,56,6
CUST-2131,2026-05,350,1099000,1400,2
CUST-2131,2026-06,344,1763344,1376,1
CUST-2131,2026-07,342,1833804,1368,4
CUST-2132,2026-05,177,476130,708,4
CUST-2132,2026-06,180,1185120,720,4
CUST-2132,2026-07,175,1348725,700,6
CUST-2133,2026-05,444,2604060,1776,3
CUST-2133,2026-06,448,2700992,1792,2
CUST-2133,2026-07,454,3073580,1816,6
CUST-2134,2026-05,297,969408,1188,5
CUST-2134,2026-06,293,2246138,1172,3
CUST-2134,2026-07,289,789548,1156,0
CUST-2135,2026-05,442,2726698,1768,6
CUST-2135,2026-06,449,2542687,1796,1
CUST-2135,2026-07,453,2395464,1812,0
CUST-2136,2026-05,553,2822512,2212,0
CUST-2136,2026-06,551,3379834,2204,4
CUST-2136,2026-07,542,2848210,2168,0
CUST-2137,2026-05,312,2363712,1248,6
CUST-2137,2026-06,308,1191344,1232,0
CUST-2137,2026-07,306,2430864,1224,2
CUST-2138,2026-05,50,423500,200,3
CUST-2138,2026-06,49,242256,196,0
CUST-2138,2026-07,56,483448,224,4
CUST-2139,2026-05,343,1854944,1372,2
CUST-2139,2026-06,341,1590083,1364,0
CUST-2139,2026-07,343,1204616,1372,5
CUST-2140,2026-05,32,90880,128,5
CUST-2140,2026-06,31,116715,124,1
CUST-2140,2026-07,23,108123,92,5
CUST-2141,2026-05,455,3731000,1820,1
CUST-2141,2026-06,454,1307974,1816,6
CUST-2141,2026-07,451,2897675,1804,5
CUST-2142,2026-05,398,2240342,1592,0
CUST-2142,2026-06,401,1964098,1604,4
CUST-2142,2026-07,399,1901634,1596,6
CUST-2143,2026-05,311,2466541,1244,2
CUST-2143,2026-06,315,2337930,1260,1
CUST-2143,2026-07,318,996612,1272,4
CUST-2144,2026-05,130,1053650,520,1
CUST-2144,2026-06,127,685038,508,0
CUST-2144,2026-07,125,320000,500,0
CUST-2145,2026-05,410,3071720,1640,2
CUST-2145,2026-06,410,2505510,1640,6
CUST-2145,2026-07,411,3196347,1644,5
CUST-2146,2026-05,290,1032110,1160,6
CUST-2146,2026-06,286,1679964,1144,0
CUST-2146,2026-07,284,1132592,1136,4
CUST-2147,2026-05,340,2490160,1360,3
CUST-2147,2026-06,334,1347022,1336,2
CUST-2147,2026-07,334,1017364,1336,0
CUST-2148,2026-05,120,419760,480,5
CUST-2148,2026-06,129,477042,516,3
CUST-2148,2026-07,138,632454,552,4
CUST-2149,2026-05,427,1464610,1708,0
CUST-2149,2026-06,420,3722040,1680,3
CUST-2149,2026-07,421,2649353,1684,5
CUST-2150,2026-05,181,1356595,724,1
CUST-2150,2026-06,182,1211028,728,6
CUST-2150,2026-07,188,594832,752,4
CUST-2151,2026-05,250,1276000,1000,2
CUST-2151,2026-06,256,1469952,1024,5
CUST-2151,2026-07,259,1185443,1036,4
CUST-2152,2026-05,287,1368703,1148,3
CUST-2152,2026-06,291,2257869,1164,1
CUST-2152,2026-07,289,926823,1156,0
CUST-2153,2026-05,384,1292928,1536,3
CUST-2153,2026-06,384,1310976,1536,0
CUST-2153,2026-07,388,2216644,1552,6
CUST-2154,2026-05,496,3507216,1984,4
CUST-2154,2026-06,499,4350781,1996,1
CUST-2154,2026-07,507,3857763,2028,1
CUST-2155,2026-05,493,2626211,1972,1
CUST-2155,2026-06,488,2587376,1952,5
CUST-2155,2026-07,486,3335418,1944,1
CUST-2156,2026-05,200,1515400,800,5
CUST-2156,2026-06,206,1834018,824,3
CUST-2156,2026-07,206,936476,824,5
CUST-2157,2026-05,563,3432611,2252,4
CUST-2157,2026-06,566,2490400,2264,2
CUST-2157,2026-07,573,4919205,2292,3
CUST-2158,2026-05,504,4140864,2016,1
CUST-2158,2026-06,508,1354836,2032,2
CUST-2158,2026-07,510,2942190,2040,2
CUST-2159,2026-05,38,201514,152,1
CUST-2159,2026-06,38,320758,152,0
CUST-2159,2026-07,36,164196,144,1
CUST-2160,2026-05,352,1383360,1408,6
CUST-2160,2026-06,355,1451595,1420,6
CUST-2160,2026-07,366,1991406,1464,3
CUST-2161,2026-05,99,605583,396,5
CUST-2161,2026-06,98,848778,392,3
CUST-2161,2026-07,104,695760,416,4
CUST-2162,2026-05,13,58032,52,4
CUST-2162,2026-06,13,71162,52,3
CUST-2162,2026-07,10,50580,40,1
CUST-2163,2026-05,541,3588994,2164,3
CUST-2163,2026-06,547,2585669,2188,4
CUST-2163,2026-07,554,2372228,2216,5
CUST-2164,2026-05,13,71227,52,6
CUST-2164,2026-06,19,126331,76,2
CUST-2164,2026-07,26,183716,104,6
CUST-2165,2026-05,314,1097744,1256,1
CUST-2165,2026-06,320,1418560,1280,4
CUST-2165,2026-07,325,1769625,1300,3
CUST-2166,2026-05,273,1346436,1092,5
CUST-2166,2026-06,271,2138461,1084,3
CUST-2166,2026-07,276,1291956,1104,0
CUST-2167,2026-05,158,988764,632,4
CUST-2167,2026-06,165,951225,660,6
CUST-2167,2026-07,163,768219,652,4
CUST-2168,2026-05,62,426374,248,5
CUST-2168,2026-06,66,210408,264,3
CUST-2168,2026-07,77,303534,308,5
CUST-2169,2026-05,64,398016,256,4
CUST-2169,2026-06,68,362032,272,2
CUST-2169,2026-07,78,516750,312,6
CUST-2170,2026-05,352,2025056,1408,6
CUST-2170,2026-06,359,1281989,1436,6
CUST-2170,2026-07,367,2655612,1468,6
CUST-2171,2026-05,260,1427140,1040,4
CUST-2171,2026-06,257,1848087,1028,0
CUST-2171,2026-07,258,1677516,1032,5
CUST-2172,2026-05,305,2177090,1220,6
CUST-2172,2026-06,314,1312206,1256,6
CUST-2172,2026-07,313,1658274,1252,0
CUST-2173,2026-05,444,3110220,1776,4
CUST-2173,2026-06,440,3410440,1760,2
CUST-2173,2026-07,440,1206920,1760,4
CUST-2174,2026-05,423,3740166,1692,4
CUST-2174,2026-06,423,2603142,1692,3
CUST-2174,2026-07,425,3051500,1700,6
CUST-2175,2026-05,204,1725228,816,0
CUST-2175,2026-06,197,1704641,788,1
CUST-2175,2026-07,193,518977,772,1
CUST-2176,2026-05,522,2469060,2088,0
CUST-2176,2026-06,515,3052405,2060,6
CUST-2176,2026-07,513,2937951,2052,2
CUST-2177,2026-05,310,1077560,1240,0
CUST-2177,2026-06,312,1198392,1248,4
CUST-2177,2026-07,320,1177280,1280,0
CUST-2178,2026-05,372,2166156,1488,5
CUST-2178,2026-06,371,3178728,1484,1
CUST-2178,2026-07,376,2922648,1504,3
CUST-2179,2026-05,210,1837290,840,6
CUST-2179,2026-06,217,1560447,868,5
CUST-2179,2026-07,217,1137514,868,0
CUST-2180,2026-05,179,1518278,716,3
CUST-2180,2026-06,178,1530622,712,0
CUST-2180,2026-07,184,1166744,736,0
CUST-2181,2026-05,382,2554434,1528,2
CUST-2181,2026-06,384,2884992,1536,1
CUST-2181,2026-07,377,1080105,1508,3
CUST-2182,2026-05,536,2903512,2144,2
CUST-2182,2026-06,531,4242690,2124,5
CUST-2182,2026-07,525,1866900,2100,6
CUST-2183,2026-05,111,999000,444,3
CUST-2183,2026-06,121,541354,484,1
CUST-2183,2026-07,128,524160,512,4
CUST-2184,2026-05,131,713819,524,2
CUST-2184,2026-06,129,1141005,516,1
CUST-2184,2026-07,123,723855,492,4
CUST-2185,2026-05,184,1273464,736,5
CUST-2185,2026-06,183,1250439,732,5
CUST-2185,2026-07,184,1004272,736,1
CUST-2186,2026-05,92,577116,368,5
CUST-2186,2026-06,98,486962,392,1
CUST-2186,2026-07,95,690650,380,6
CUST-2187,2026-05,515,1403375,2060,6
CUST-2187,2026-06,507,2761629,2028,4
CUST-2187,2026-07,507,3975387,2028,6
CUST-2188,2026-05,380,1854780,1520,3
CUST-2188,2026-06,371,1866872,1484,4
CUST-2188,2026-07,368,994336,1472,3
CUST-2189,2026-05,385,3327555,1540,4
CUST-2189,2026-06,379,1954882,1516,6
CUST-2189,2026-07,381,1958721,1524,0
CUST-2190,2026-05,224,1828064,896,1
CUST-2190,2026-06,223,1300313,892,6
CUST-2190,2026-07,224,581280,896,5
CUST-2191,2026-05,187,1571174,748,0
CUST-2191,2026-06,184,502136,736,3
CUST-2191,2026-07,192,959616,768,6
CUST-2192,2026-05,50,184150,200,2
CUST-2192,2026-06,48,224352,192,3
CUST-2192,2026-07,50,162950,200,3
CUST-2193,2026-05,434,2037196,1736,1
CUST-2193,2026-06,432,1703808,1728,4
CUST-2193,2026-07,423,1218240,1692,3
CUST-2194,2026-05,327,2373693,1308,5
CUST-2194,2026-06,332,2929568,1328,0
CUST-2194,2026-07,335,2153380,1340,1
CUST-2195,2026-05,100,261100,400,6
CUST-2195,2026-06,106,623068,424,0
CUST-2195,2026-07,116,893780,464,6
CUST-2196,2026-05,517,1503436,2068,3
CUST-2196,2026-06,521,1464010,2084,6
CUST-2196,2026-07,524,2296692,2096,4
CUST-2197,2026-05,523,4255651,2092,0
CUST-2197,2026-06,525,4204200,2100,3
CUST-2197,2026-07,519,2673369,2076,6
CUST-2198,2026-05,16,54224,64,6
CUST-2198,2026-06,18,152154,72,0
CUST-2198,2026-07,13,101803,52,6
CUST-2199,2026-05,377,2720432,1508,1
CUST-2199,2026-06,384,1328256,1536,5
CUST-2199,2026-07,386,1672152,1544,1
CUST-2200,2026-05,114,752286,456,6
CUST-2200,2026-06,117,662454,468,1
CUST-2200,2026-07,128,344576,512,2
CUST-2201,2026-05,453,3092178,1812,3
CUST-2201,2026-06,452,3969916,1808,5
CUST-2201,2026-07,452,2461140,1808,0
CUST-2202,2026-05,106,284186,424,5
CUST-2202,2026-06,107,613003,428,5
CUST-2202,2026-07,105,363405,420,4
CUST-2203,2026-05,176,557216,704,3
CUST-2203,2026-06,174,1075146,696,1
CUST-2203,2026-07,180,1435320,720,4
CUST-2204,2026-05,392,1124256,1568,5
CUST-2204,2026-06,396,1776060,1584,4
CUST-2204,2026-07,397,3336785,1588,6
CUST-2205,2026-05,310,1804820,1240,6
CUST-2205,2026-06,315,994455,1260,6
CUST-2205,2026-07,323,2669918,1292,3
CUST-2206,2026-05,69,561936,276,6
CUST-2206,2026-06,72,316296,288,0
CUST-2206,2026-07,79,212352,316,2
CUST-2207,2026-05,410,1975790,1640,6
CUST-2207,2026-06,410,3330020,1640,3
CUST-2207,2026-07,415,2121065,1660,3
CUST-2208,2026-05,305,1880325,1220,3
CUST-2208,2026-06,312,886704,1248,3
CUST-2208,2026-07,317,2781675,1268,0
CUST-2209,2026-05,127,833247,508,0
CUST-2209,2026-06,124,879284,496,5
CUST-2209,2026-07,119,945931,476,0
